batch_number	bug_id	severity	category	file_line	description
1	R01-101	HIGH	Hook Misuse	src/components/readability/ReadabilityDashboard.jsx:57	The useEffect that loads trend data calls historyHook.getTrendData().then() but historyHook is omitted from the dependency array (suppressed with eslint-disable). If historyHook reference changes, the
1	R01-102	MEDIUM	Missing Error Handling	src/components/readability/ReadabilityDashboard.jsx:57	The getTrendData promise chain lacks a .catch() handler. If the async call fails (e.g., network error), the promise rejection goes unhandled.
1	R03-104	MEDIUM	Truncation	src/components/readability/ReadabilityDashboard.jsx:408	On mobile, tab labels are truncated to just the first word using split(' ')[0]. The tab 'How AI Sees Your Content' becomes simply 'How', and 'Score Details' becomes 'Score'. These single-word labels l
1	R04-106	MEDIUM	Content Grouping	src/components/readability/ReadabilityDashboard.jsx:407	Tab labels are truncated on mobile to show only the first word (line 408: tab.label.split(' ')[0]). This results in 'Score', 'How', 'Recommendations', and 'Issues'. The 'How' label (from 'How AI Sees 
1	R04-107	MEDIUM	Cognitive Overload	src/components/readability/ReadabilityDashboard.jsx:300	The dashboard presents the AI summary, executive summary, category chart, quick wins section, tab bar, and tab content all on one scroll. There is no visual hierarchy separation between the 'above the
1	R05-106	HIGH	Focus Trap	src/components/readability/ReadabilityDashboard.jsx:187	The Share dialog dropdown (line 187) appears as an absolutely positioned panel but has no focus trap, no aria-modal, and no Escape key handling. Focus can move to elements behind the dropdown, and pre
1	R05-107	MEDIUM	ARIA Missing	src/components/readability/ReadabilityDashboard.jsx:240	The Export dropdown button lacks aria-haspopup='true' and aria-expanded attributes. Screen readers cannot announce that this button opens a menu, and the expanded state is not communicated.
1	R05-111	MEDIUM	Form A11y	src/components/readability/ReadabilityDashboard.jsx:224	The share link <input> (readOnly) at line 224 lacks an aria-label. While there is a preceding text 'Share link:', it is not programmatically associated via htmlFor/id or aria-labelledby.
1	R06-115	MEDIUM	Heading Hierarchy	src/components/readability/ReadabilityDashboard.jsx:337	ReadabilityDashboard uses h3 for 'Quick Wins' at line 337 but the parent ReadabilityPage uses h1 at line 208. This means h3 appears as a direct child of h1, skipping h2 entirely. The tab section label
1	R07-B-002	high	Missing Disclaimer	src/components/readability/ReadabilityDashboard.jsx:300-311	The AI Visibility Summary section renders AI-generated content summary text (from aiAssessment.contentSummary) directly without any AI disclaimer. The dashboard also renders an executive summary (line
1	R09-A-005	HIGH	Code Splitting	src/components/readability/ReadabilityDashboard.jsx:10	ReadabilityDashboard uses React.lazy() directly for ReadabilityCategoryChart and ReadabilityLLMPreview (lines 10 and 12), bypassing the application's lazyWithRetry utility. The lazyWithRetry wrapper (
1	R09-A-010	MEDIUM	Error Logging	src/components/readability/ReadabilityDashboard.jsx:448	A console.log statement exists in production component code at ReadabilityDashboard.jsx line 448: 'console.log('Custom weights applied:', weights)'. This is a debugging artifact that was not cleaned u
1	R09-B-004	HIGH	Monitoring Gap	src/components/readability/ReadabilityDashboard.jsx:448	The ReadabilityWeightConfig onChange handler contains a console.log statement: console.log('Custom weights applied:', weights). This is debug logging left in production code. More critically, there is
1	R09-B-005	HIGH	Code Splitting	src/components/readability/ReadabilityDashboard.jsx:11	ReadabilityDashboard uses React.lazy for ReadabilityCategoryChart and ReadabilityLLMPreview, but eagerly imports seven other large components (ReadabilityRecommendations, ReadabilityIssuesTable, Reada
1	R09-B-006	MEDIUM	Code Splitting	src/components/readability/ReadabilityDashboard.jsx:10	ReadabilityDashboard uses bare React.lazy() for sub-component lazy loads (ReadabilityCategoryChart on line 10, ReadabilityLLMPreview on line 12) instead of the application's lazyWithRetry utility. The
1	R10-B-004	MEDIUM	Missing Error State	src/components/readability/ReadabilityDashboard.jsx:57	The ReadabilityDashboard loads trend data via historyHook.getTrendData() in a useEffect at line 55-60 but has no error handling for the async operation. If getTrendData rejects, the promise is unhandl
1	R10-B-015	LOW	Edge Case	src/components/readability/ReadabilityDashboard.jsx:127	The ReadabilityDashboard returns null (line 127) when the analysis prop is null/undefined, rendering a completely blank page with no user feedback. While the parent ReadabilityPage handles loading and
1	R02-200	HIGH	Dark Mode Bug	src/index.css:53	Dark mode body background selector '.dark body, body.dark, .dark' is overly broad. The third selector '.dark' applies the background gradient to the .dark class element itself (typically <html>), whic
1	R02-201	MEDIUM	Dark Mode Bug	src/index.css:135	The .btn-secondary component (line 135-141) uses hardcoded 'bg-white' with no dark: variant. While there is a .dark .btn-secondary override at line 555-556, any component using 'btn-secondary' class a
1	R02-202	MEDIUM	Dark Mode Bug	src/index.css:198	The .card-glass component uses 'bg-white/70' and 'border-white/20' (line 200-201). The dark override at line 550-551 changes to 'bg-charcoal-800/70' and 'border-charcoal-700/20'. However the dark over
1	R02-203	HIGH	Dark Mode Bug	src/index.css:205	The .card-gradient class applies 'bg-gradient-to-br from-white to-charcoal-50/50' (line 207) but has no corresponding .dark .card-gradient override anywhere in the dark mode section (lines 540-674). I
